id,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
ENSMUSG00000064351,13.76354227,13.88779035,13.80670008,13.49909703,13.55147146,13.65136305,14.0904175,14.00533408,14.06987106
ENSMUSG00000041607,13.64752173,13.77150866,13.63578848,13.58465406,13.388189,13.43377565,13.92540255,13.88902294,13.85239843
ENSMUSG00000031425,13.0185255,13.06734249,13.03033553,12.51456573,12.04198708,12.3341057,13.38545662,13.24550614,13.18884193
ENSMUSG00000064370,12.76469446,13.00349065,12.8237395,12.49765015,12.55300805,12.69345897,13.09105214,13.02223535,13.03185621
ENSMUSG00000064341,12.35429731,12.67907071,12.42361104,12.15462055,12.12246934,12.31007167,12.76904429,12.69782843,12.67363003
ENSMUSG00000021268,12.28433874,12.40398536,12.27053486,12.48781834,12.23047617,12.40198431,12.31805257,12.29057924,12.30230361
ENSMUSG00000064367,11.97364691,12.27977019,12.15322365,11.80124999,11.86495801,12.22206177,12.41638995,12.31553655,12.39582145
ENSMUSG00000064345,11.82638453,11.94347157,11.82382986,11.25284907,11.35957059,11.55494994,12.34683334,12.33173704,12.40299804
ENSMUSG00000025203,11.67434399,11.6764914,11.68222106,11.30273435,11.38936663,11.431325,12.02473974,11.96089714,11.98294676
ENSMUSG00000032517,11.69949101,11.73117615,11.78224552,11.49550683,11.35717156,11.32009206,11.93571372,11.91332447,12.02818279
ENSMUSG00000064363,11.52590771,11.71501713,11.56330531,11.17889052,11.20514545,11.30256284,11.90496851,11.84974673,11.87312463
ENSMUSG00000020932,11.77683056,11.99544059,11.79934879,11.6324926,11.73718156,11.85371525,10.77427477,10.85791282,10.68223055
ENSMUSG00000024661,11.59680128,11.85995663,11.78536524,11.82830166,11.73586502,11.68151506,11.89538258,11.89193177,11.86479995
ENSMUSG00000064339,11.3721292,11.20541293,11.16324428,11.20352386,11.2705677,11.08623382,11.88646066,11.69674954,11.94785822
ENSMUSG00000044349,11.37329592,11.66617812,11.41310559,11.75144666,11.58281864,11.67268769,11.28241293,11.22164765,11.2133851
ENSMUSG00000029309,11.62239606,11.70375032,11.71256121,11.58938256,11.56580388,11.68679692,11.66720362,11.70668516,11.7244235
ENSMUSG00000022548,10.16152664,10.09745548,10.42615323,11.18209855,11.61874786,11.22649187,9.551878402,9.549466236,9.684429595
ENSMUSG00000002985,11.12004616,11.33133036,11.26144041,11.28771777,11.47291182,11.25937923,9.960591536,9.98608619,9.967489829
ENSMUSG00000007097,11.04075417,11.00966886,11.0486385,10.85466108,11.07876755,11.14892822,11.25081561,11.32178117,11.31748309
ENSMUSG00000040907,11.0032181,11.0705387,11.0567057,11.04835892,10.99489427,11.1468435,11.17624085,11.23304834,11.3344271
ENSMUSG00000027273,10.88201695,10.97488349,10.94665662,10.86357679,10.8433715,10.96001682,11.20347752,11.1716455,11.26815097
