ProteinIDs,ACY-738_FUS_plusplus1,ACY-738_FUS_plusplus2,ACY-738_FUS_plusplus3,FUSplusplus_vehicle4,FUSplusplus_vehicle5,FUSplusplus_vehicle6,FUSminusminus_vehicle7,FUSminusminus_vehicle8,FUSminusminus_vehicle9
A2A432,28.4266,28.1661,28.2944,28.5427,28.278,28.3075,27.8986,28.2442,28.3671
A2A5R2,28.4305,28.241,28.3768,28.224,28.5154,28.1917,27.914,28.0192,28.3251
A2A6T1,23.9199,23.9886,24.0034,24.1319,23.6653,23.7048,23.9075,24.2135,24.0243
A2A863,27.3129,28.7081,27.8345,27.5374,28.78,28.4118,28.6935,28.5131,28.3115
A2A8Z1,26.4256,26.1214,26.8266,26.8191,26.8762,26.248,26.1864,26.4184,26.3697
A2AAJ9,25.7858,25.8963,25.6567,25.4785,25.5671,25.8718,24.1301,25.8159,25.5813
A2AAY5,25.5608,24.3669,23.9349,24.7557,24.5215,24.9173,24.8858,23.9859,23.9287
A2ADY9;Q9DAF3,27.3129,26.8134,27.0178,26.8083,27.1386,26.7524,26.3784,26.445,26.3557
A2AG50,29.2278,29.1981,29.0447,29.2412,28.714,28.721,29.4733,29.0439,29.2503
A2AGT5,30.087,29.9183,29.8365,29.8882,29.9672,29.8798,29.8097,29.8838,29.9917
A2AJA9,23.543,25.1479,23.6217,23.8322,23.3947,23.4852,23.9684,23.2914,23.3673
A2AJI0,27.8291,27.5219,27.3537,28.0553,27.6533,27.5175,27.4891,27.526,27.4637
A2ALS5,28.7994,28.6828,28.7177,28.8114,28.7644,28.4558,28.0046,28.4521,28.115
A2ALU4;Q1W617;Q9QXN0,27.7121,27.8593,27.7262,27.8279,27.6761,27.8096,28.0573,27.7255,27.8298
A2AN08,29.5358,29.4614,29.6501,29.6991,29.5371,29.6513,29.3606,29.5839,29.6422
A2APV2,29.166,29.1294,29.1864,29.1413,29.143,28.9336,28.9719,28.8908,28.8305
A2APX8;Q9JJV9;Q6QIY3,26.9045,26.6885,26.6898,27.1294,26.4227,26.3724,26.828,26.4068,26.8045
A2APY7,23.6277,24.049,23.949,23.7222,23.7785,24.0244,24.5224,23.5423,23.733
A2AQ25,24.8766,25.4752,25.5714,25.5798,25.3986,25.4844,25.2545,24.7957,25.1435
A2ASQ1,27.4554,27.8069,27.3615,28.1729,27.9867,27.7297,28.1995,28.2793,27.6944
A2ASS6,28.2156,27.9815,28.4943,28.3154,28.7505,27.6738,28.8048,28.1071,28.2104
A2ASZ8;Q8BVN7,29.7318,29.4205,29.3491,29.2516,28.9284,28.955,28.8766,28.8601,28.9827
A2AWA9,26.699,26.5797,26.8062,27.1921,26.1717,26.9875,27.1971,26.4882,26.6273
A2BDX3,26.2783,22.876,25.0414,25.3131,26.1302,25.9133,25.9021,23.4461,26.4144
A3KMP2,25.4536,26.0681,24.0356,25.7328,22.7171,25.8448,25.7176,25.4171,26.2472
A6H5Z3,26.8747,26.5535,26.9542,26.8359,26.6484,26.8881,26.5963,26.6947,25.6194
A6H630,27.2446,26.9473,26.867,27.2204,27.1147,27.1547,27.1002,26.8323,26.9401
A6X919,25.7291,26.0544,25.8499,25.9394,25.8419,25.9494,26.5743,25.7408,25.5886
B0V2N1,25.1021,24.6802,23.425,24.999,24.8928,24.8877,25.7573,24.2738,22.7606
B1AR13,26.9684,26.6806,27.0183,27.0654,26.4507,26.6487,25.8831,26.504,26.47
B1AY13,24.2193,24.1128,24.1249,24.1636,23.3784,24.1036,24.0799,24.4046,24.5936
B1AZP2,29.1259,29.2502,25.3916,28.8798,22.5847,28.644,29.0348,28.6714,28.8767
B2RPU2,24.4434,24.1896,24.2024,24.4979,24.7605,24.4151,24.4679,25.5347,24.3151
B2RQC6,27.083,26.9051,26.6486,26.7645,26.7528,26.798,26.7273,26.6271,26.6525
B2RSH2;P20612;Q3V3I2;P50149,29.5691,29.375,29.4794,29.3934,29.5804,29.1739,28.9158,29.0996,29.162
B2RUJ5,25.4563,25.8161,25.1981,25.6357,25.2239,25.2369,25.1524,25.4753,25.2406
B2RUR8;Q8R554,27.0115,26.9252,26.7023,27.4142,27.1789,26.7863,26.9024,26.9369,26.8102
B2RXC1,25.6541,25.761,25.5148,25.7125,24.9831,25.1113,26.5031,25.2148,24.2963
B2RXS4,25.3502,25.5716,25.9032,26.4564,26.4552,26.433,26.0518,26.7762,26.7627
B2RY04,26.6617,23.118,26.6471,26.4704,26.5295,26.6749,26.2213,26.5117,26.4887
B9EJ80,25.4151,25.4741,26.0684,25.4562,25.0117,25.5606,25.0641,25.0571,25.0034
B9EJ86,26.1751,25.8081,25.6307,25.8957,26.0984,25.854,25.9777,25.4443,26.1945
B9EJI9,24.9622,24.9249,24.9084,25.1699,24.7019,24.8711,23.9833,24.9612,23.7212
B9EKR1,29.5913,29.322,29.448,29.8649,29.3581,29.4108,29.524,29.4246,29.5376
C0HK80;C0HK79,24.8312,24.3109,24.5349,23.9859,23.8779,23.6929,23.7306,24.2476,23.711
D3YXK2;Q80YR5,27.3794,26.9492,27.059,26.994,27.3278,27.2992,27.2429,27.4085,27.0071
D3YZG8,24.6149,24.1673,24.6785,24.5782,24.6405,24.3865,24.3226,24.7076,22.7673
D3YZP9,27.0212,26.6324,26.6302,27.1006,26.5355,26.68,27.053,26.7677,26.7317
D3Z7P3,31.4344,31.1957,31.2623,31.0029,31.0612,31.1792,30.9356,30.9932,31.3218
E9PUL5,28.1998,28.1801,27.9813,28.5292,28.2268,28.1417,28.0888,28.0521,28.3307
E9PV24,24.5277,25.3369,24.6219,25.1466,25.1782,24.7514,24.6192,24.9256,25.9323
E9PVA8,28.9344,28.8027,29.0211,29.1751,29.2329,29.1247,28.6851,29.0242,29.1708
E9Q3L2,29.5254,29.1237,29.4181,29.2288,29.44,29.2368,28.9913,29.1322,29.1112
E9Q401;A2AGL3;E9PZQ0,29.6791,29.4405,29.5515,29.358,29.5015,29.426,29.2925,29.441,29.4658
E9Q5C9,25.9659,25.8853,25.6721,26.0713,25.6918,25.605,24.9311,25.8267,25.7857
E9Q634;P70248,24.9211,24.2228,25.1702,24.8967,25.5258,25.1085,25.2261,24.8564,24.7323
E9Q6P5,27.6629,27.6897,27.5553,27.922,27.6034,27.471,26.8424,27.1192,27.3244
E9Q735,27.6214,27.1884,27.2774,27.3403,27.8006,27.2584,27.1458,27.3564,27.7227
E9Q7G0,27.6118,27.6864,27.5382,28.1001,27.949,27.8368,28.1198,28.0664,28.0962
E9Q8I9,26.3097,25.9847,26.2745,26.3283,26.7753,26.3238,26.0684,26.4029,26.212
F6SEU4,27.6376,28.5222,27.5941,27.9484,28.2093,27.6939,28.1023,27.4153,27.8822
F6ZDS4,25.9636,25.7103,25.7046,26.343,26.2836,26.2457,26.3939,26.3961,26.0647
F8VPU2,28.8189,28.6715,28.7114,28.8639,29.0467,29.021,29.0327,29.0071,29.0178
G3X9K3,26.9349,26.57,26.9016,26.9118,26.6748,26.7325,26.7895,26.6828,26.6388
G5E829,30.2311,30.1893,30.0743,30.2421,30.1036,30.0084,30.3988,30.1554,30.1724
G5E8K5,30.2525,29.9724,30.0765,30.0223,30.0058,30.1595,29.978,29.9266,30.2163
O08529,31.3172,31.184,31.2066,31.3042,31.2345,31.1865,31.0503,31.281,31.1942
O08532,28.4297,28.2403,28.2151,28.747,28.2675,28.2975,28.2552,28.3262,28.294
O08539,31.5548,31.3549,31.4512,31.6267,31.2997,31.1774,31.083,31.0654,31.1713
O08547,29.7018,29.6575,29.4625,29.3664,29.7437,29.7119,29.0463,29.8766,29.7269
O08553,35.5684,35.499,35.5431,35.3311,35.4348,35.3232,35.1992,35.2255,35.3886
O08579,27.2414,27.7557,27.798,27.7664,27.8375,28.0735,27.9264,28.0668,27.9087
O08582,24.918,24.1324,24.3348,23.5626,25.5781,24.6347,24.7108,24.1554,24.2248
O08583;Q9JJW6,28.265,27.9527,28.21,28.5043,28.5834,28.3654,28.1684,28.1865,28.6273
O08585,30.4183,30.3155,30.209,30.7034,30.0575,30.0581,30.6636,30.2653,30.286
O08586,26.2563,26.5017,25.7969,25.8225,24.1245,25.8718,24.0952,25.8675,23.3422
O08599;Q64324,34.4912,34.3444,34.3023,34.4903,34.185,34.1006,34.0978,34.1013,34.2976
O08600,27.0928,26.6241,26.9867,26.9025,26.7236,26.8876,26.2225,26.5863,26.5731
O08638,27.9562,28.6593,28.3878,28.256,28.5635,28.3392,28.5033,28.7952,28.564
O08648,24.2546,24.3106,24.9019,24.4078,24.4814,24.1777,24.0271,24.8818,24.6542
O08663,28.6006,28.6581,28.6477,28.867,28.9256,28.9034,29.0037,28.6133,28.3777
O08677,24.2676,25.1294,25.1837,24.9578,25.7002,25.1463,25.1067,25.8222,27.4739
O08688,27.6568,27.5763,27.3819,27.6446,27.6106,27.5213,27.5353,27.7417,27.9671
O08709,33.3847,33.2082,33.3872,33.9519,34.1945,33.6959,33.9146,34.0445,33.839
O08739,27.1157,27.2802,27.2907,28.0368,27.9008,27.8162,28.2748,27.7939,28.1418
O08749,32.702,32.5398,32.7547,32.765,32.7336,32.4959,32.5961,32.5751,32.6858
O08756,29.867,30.0844,29.8102,30.2395,29.8463,29.8115,29.9822,30.0835,29.9527
O08759,27.3757,27.4101,27.4131,27.5502,27.5514,27.3157,27.1247,27.3199,27.3197
O08788,31.6636,31.5565,31.4962,31.6245,31.3819,31.3796,31.6397,31.4315,31.526
O08795,28.0239,28.3443,28.1052,28.2292,28.294,28.0916,28.3721,28.1806,27.9331
O08807,29.4693,29.6051,29.2238,29.8845,30.0611,29.6545,30.1391,29.4791,29.6592
O08808,26.6826,26.3807,26.512,26.5386,26.7074,26.4291,26.4592,26.5922,25.9505
O08810,27.9544,27.7735,27.5332,27.7022,28.1155,28.0133,28.3345,28.0975,28.2957
O08848,27.313,27.0345,27.248,27.2316,26.9682,26.8904,27.0243,26.932,26.6228
O08914,26.4703,26.056,26.3958,25.9851,26.4709,25.904,25.7404,25.791,25.8757
O08915,28.506,28.1472,28.1396,28.08,28.3984,28.3462,28.1178,28.3614,28.4712
O08917,29.911,30.1253,30.0271,30.2894,30.6636,30.2435,30.2533,30.0917,30.1431
O08919,26.0762,24.125,25.8135,26.3261,26.2532,25.8252,26.4686,25.7677,26.2225
O08989,26.2719,26.1234,26.5478,26.1835,26.4665,26.3383,26.8883,26.2712,26.0659
O08992,27.8134,27.4397,27.8003,26.2043,27.6362,27.3706,26.6637,27.3599,26.7445
O08997,29.9563,30.233,29.8658,29.9113,29.6401,30.5688,29.7592,30.1074,30.5907
O09044,25.6812,25.6524,26.3254,25.7953,26.2667,25.5948,25.5377,25.756,25.951
O09061,29.6295,29.755,29.7305,29.8517,29.9205,29.5028,29.8096,29.7292,29.8879
O09111,29.3692,28.7925,29.0467,28.8277,29.2219,28.7776,28.75,28.7193,28.98
O09114,27.7828,28.5148,28.1948,28.6225,28.744,28.5492,29.1453,29.4015,29.27
O09117,28.0838,28.3148,27.8551,28.314,28.0266,27.6256,28.2833,27.9068,27.8724
O09131;Q8K2Q2,28.4007,28.2348,28.1647,28.65,28.1962,28.4475,28.9226,28.7624,28.849
O09167,29.153,28.9477,29.4355,29.4887,28.9707,29.4789,29.2095,29.1704,29.1429
O09172,29.5669,29.1526,29.2555,29.0182,29.0111,29.2755,28.9346,29.1945,29.1655
O35074,22.85,23.924,24.5086,24.3171,25.2352,24.5508,24.144,25.6122,23.7275
O35075,23.8781,26.683,26.9263,26.3745,24.2317,30.3085,26.3018,26.8055,25.9892
O35083,26.3814,25.8332,26.2728,26.1692,26.2247,26.3748,25.7358,26.3604,26.0461
O35098,30.194,29.9855,30.0785,30.384,30.0833,30.5317,30.4074,30.4501,30.688
O35114,27.2765,27.5504,27.1726,27.3062,27.4332,27.8729,27.8989,27.8546,27.3179
O35127,27.3373,27.1762,27.2965,27.5392,27.0282,27.3158,26.9549,27.0758,27.4088
O35129,31.0718,30.9145,31.0052,31.0134,30.8622,30.7451,30.7816,30.8925,30.8971
O35136,29.5917,29.318,29.6173,29.7317,29.6273,29.4015,28.8955,29.3275,29.4208
O35143,30.1744,30.2181,30.2326,30.38,29.974,29.7462,30.1648,29.7336,29.7121
O35206,28.5621,29.2601,28.7895,27.808,29.1401,29.2088,29.1359,29.1811,29.0345
O35215,31.179,30.6133,30.9202,30.8379,30.9521,30.6251,30.6405,30.6054,30.8299
O35226,27.2427,27.6529,27.4122,27.6173,27.2046,27.5949,27.5028,27.581,27.3365
O35239,24.3748,24.7842,24.4749,23.6197,24.0079,24.9734,25.2114,24.6354,24.7998
O35250,26.6983,25.9972,26.6039,26.394,26.6707,26.7163,26.4587,26.7182,26.0254
O35286;A2A4P0,28.2399,28.4669,28.3146,28.2928,28.4235,28.4601,28.285,28.501,28.6797
O35295,28.0224,27.8351,27.9716,28.1389,28.2242,28.0834,28.1901,28.0524,28.1777
O35343,28.0528,27.3006,27.4565,28.1619,27.973,27.9652,27.7544,27.8512,27.5777
O35344,28.8093,28.4754,28.5192,28.6812,28.7548,28.506,28.7535,28.6278,28.5053
O35345,27.7414,28.0417,28.3912,28.005,27.8382,28.2188,28.0551,28.164,27.1526
O35350,28.1597,28.1947,27.9218,28.078,27.7977,27.9896,27.5667,27.9337,27.7394
O35381;Q64G17,29.7792,29.6608,29.7439,30.1671,30.0802,29.9321,29.7507,30.0178,29.912
O35382,27.7641,27.292,27.4293,27.7945,27.8119,27.5475,27.0371,27.3518,27.3553
O35393,27.535,27.1648,27.453,27.6842,27.4352,27.3644,27.6606,27.614,27.5844
O35405,24.7508,24.8993,24.8535,24.5621,24.819,24.9931,24.7204,24.9419,24.8519
O35409,27.5432,27.2954,26.967,27.3812,27.393,27.2179,27.9572,27.6802,27.6331
O35435,25.6374,25.3626,25.5633,25.7311,25.7836,25.6838,25.8302,25.7701,25.9306
O35454,24.9642,24.4778,25.0119,24.9596,25.2911,25.2045,24.3218,24.3964,24.9396
O35459,23.1112,25.9793,25.8802,26.0356,26.3541,26.112,26.1827,26.235,25.8838
O35465,28.1718,27.9194,27.77,27.5825,28.3867,27.9506,27.8265,27.8812,28.0233
O35474,23.4371,25.2028,24.5701,25.0454,24.68,24.3266,24.7876,24.9415,23.5956
O35488,25.2781,24.8514,25.2696,24.966,25.2105,24.8933,24.7993,24.8249,25.1301
O35526,28.0364,28.1316,27.992,27.9493,27.8661,27.8867,28.6884,28.0915,28.1595
O35551,27.9558,28.3195,28.4032,28.137,27.7489,28.0182,28.5996,28.2542,28.0383
O35566,26.2277,26.4347,26.4526,26.3619,27.3051,26.6029,26.5125,26.711,26.508
O35593,28.4402,28.3446,28.1638,28.692,28.4942,28.4389,28.5033,28.2769,28.4474
O35598,28.3297,28.1499,28.0097,28.1077,28.4083,28.2946,28.1856,28.1105,28.3597
O35604,22.8901,25.2901,25.3822,25.0642,25.0252,25.4944,25.5885,25.2741,25.0502
O35609,26.9922,26.2976,26.649,26.6269,26.6606,26.6779,26.7737,26.4793,26.7682
O35633,29.8583,29.9012,29.5095,30.0741,29.6802,29.5283,29.9952,29.7917,29.894
O35639,27.781,28.7962,28.8399,29.2701,29.5706,29.4712,29.4622,29.578,29.1384
O35643,31.1464,31.0075,31.0254,30.9299,30.9183,30.9459,30.6586,30.8736,31.0185
O35658,31.0924,30.7836,30.8445,30.9408,30.7695,30.5548,30.406,30.8309,31.1081
O35668,26.0508,25.4094,25.8663,25.8382,26.066,25.4774,25.9951,25.4325,25.7129
O35678,29.8398,29.5534,29.5809,29.2121,29.4126,29.4998,29.245,29.5008,29.7173
O35681,26.3526,25.947,26.566,26.2908,25.9317,25.8118,26.0227,26.0283,25.7406
O35682,25.567,25.5737,25.0632,25.6594,23.8466,25.1199,25.4747,25.254,24.9173
O35685,28.4163,28.8206,28.5956,28.9219,28.5646,28.3776,28.4917,28.3223,27.8495
O35691,23.64,24.5467,24.6557,25.1662,24.9377,24.7928,24.9398,25.4049,24.3044
O35737,28.4815,28.9585,28.6639,29.1517,28.7481,28.8974,28.7364,28.5207,28.3559
O35841,25.4984,25.7413,23.1809,26.0697,25.946,26.1963,25.8856,24.9451,26.3166
O35855,25.5007,25.0927,25.1153,23.5852,25.5068,25.5626,25.1881,25.8412,25.8083
O35857,27.8879,27.7507,27.7235,27.8524,27.6772,27.4924,27.5791,27.4244,27.8328
O35864,29.4176,29.193,29.1987,29.2245,29.2028,29.1275,29.1636,29.0681,29.0215
O35874,28.2446,28.1722,28.1106,28.7237,28.16,28.2751,28.1434,28.1867,28.3284
O35887,28.1189,28.2615,28.1423,28.4317,28.8127,28.6522,28.1497,28.587,28.5363
O35900,27.0999,26.8743,27.3857,27.3825,26.8681,27.3607,27.3912,27.2084,27.063
O35927,29.1865,28.9176,28.9604,29.546,29.1875,29.1597,29.2992,29.1965,29.1304
O35954,28.1157,27.9611,28.0181,28.2242,27.7383,27.9302,28.3102,28.2195,28.3887
O35963;P97950,26.8968,27.0183,26.7069,26.5228,26.5347,27.2444,26.5875,26.4115,26.741
O35969,29.337,29.2478,29.4099,29.4521,29.4167,29.6369,28.9925,28.7956,29.0589
O54692,26.374,26.7187,26.5115,26.492,23.7882,26.5326,26.1391,26.1102,26.1076
O54724,28.907,29.5407,29.4234,29.4741,29.9103,29.7787,29.7882,29.8635,29.7493
O54734,28.2387,28.3552,28.5119,27.9139,28.8246,28.7078,28.2457,28.3623,28.2578
O54750,23.2686,22.8402,25.0056,23.8559,23.3138,24.1433,23.5795,23.6479,24.2771
O54774,30.0028,29.6194,29.9018,29.8071,29.6467,29.58,29.4466,29.7179,29.5874
O54781;Q9Z0G2;O70551,25.8393,26.2294,25.9162,26.3122,25.9812,25.8594,26.3283,25.9884,26.1136
O54786,25.9634,26.9355,27.0635,26.1628,25.3425,26.1861,25.9922,25.2032,25.52
O54829,28.3176,27.9967,28.1576,28.2247,28.1884,27.9925,27.5292,27.8449,28.3282
O54833,27.1826,27.4567,27.4383,27.1871,27.4077,27.2834,27.1832,27.1535,27.4136
O54865,28.4994,28.1664,28.144,28.3182,28.1602,27.9827,27.7796,28.1684,28.0954
O54901,27.056,26.9973,26.9681,27.2614,27.0673,26.6455,27.2946,26.7847,27.2613
O54916,25.9392,22.6416,25.6803,25.7891,25.5828,25.0946,24.7095,25.4595,25.5623
O54946;Q9QYI8,25.655,24.9546,25.5684,24.8013,25.1228,24.9781,25.3777,25.3684,25.5935
O54950,26.3263,26.3809,26.3188,26.3225,26.636,26.4992,26.276,26.0927,26.5945
O54962,29.3714,29.237,29.1083,28.9358,29.6315,29.4286,29.0099,29.4053,29.7049
O54983,25.7957,26.2412,26.795,26.6353,26.3629,26.9988,27.3648,27.531,27.6134
O54984,29.6124,29.2906,29.4843,29.3904,29.6113,29.3153,29.0789,29.1729,29.2574
O54988;O55098,28.5095,28.427,28.2555,28.9174,28.7458,28.4214,28.881,28.8343,29.0145
O54991,30.7269,30.4399,30.6073,30.5467,30.4471,30.521,30.524,30.5195,30.5884
O55013,26.4124,26.6725,26.362,26.8569,26.3159,26.4835,26.6671,26.862,26.5147
O55022,28.6464,28.7205,28.7327,28.9969,28.9349,28.9733,29.5639,29.2917,29.1298
O55023,30.1941,30.2924,30.2502,30.4415,29.8951,30.1904,30.7452,30.2863,30.2042
O55026,28.2898,28.3817,28.2468,29.0164,29.8534,28.8982,29.1513,29.2833,29.3147
O55028,26.5815,25.6388,26.5494,25.712,26.698,26.327,26.3284,25.8635,26.0625
O55029,28.8159,28.8228,28.7242,28.9128,28.8154,28.8593,28.5319,28.8035,28.8795
O55042,30.8912,31.1734,30.6993,31.1414,30.3721,30.6853,30.7617,30.5397,30.7809
O55057,25.8657,25.6217,23.488,25.4884,25.1554,25.6788,25.2498,25.1334,25.3355
O55060,26.6835,25.8963,26.3973,26.4782,26.7653,26.6105,26.3324,26.7802,26.7473
O55091,29.3595,29.3109,29.0468,29.4931,29.052,29.1261,29.5634,29.5239,29.4386
O55100,29.1355,28.7279,28.6583,29.1963,28.8917,28.7705,29.002,28.9007,28.8483
O55103,32.7721,33.7218,33.1108,31.8952,33.1602,33.1598,32.7903,32.8903,33.2597
O55106,28.1503,27.917,28.5233,28.2174,28.3382,28.0973,28.3473,27.9804,27.9437
O55125,30.7146,30.2695,30.3745,30.535,30.374,30.3525,29.9404,30.1642,30.4292
O55126,30.1325,29.8381,29.9334,30.079,29.94,29.7975,29.6889,29.7771,29.9657
O55128,25.4245,25.0005,25.1859,25.4487,25.5723,25.8059,25.1407,25.6276,25.8721
O55131,32.2839,32.0034,32.2003,32.3493,32.351,32.0171,31.8739,31.9592,32.1271
O55135,26.8679,26.5006,26.6514,27.4167,26.7322,27.0965,27.6071,26.7709,27.1207
O55137;Q32Q92;Q6Q2Z6;Q9QYR7;Q8BWN8,28.5798,28.4101,28.5084,28.6119,28.8751,28.6222,28.8425,28.719,28.8258
O55142,27.999,27.9871,27.8497,28.2371,27.9113,28.1561,27.8284,28.203,27.8476
O55143;Q64518,31.776,31.666,31.7299,31.9192,31.6257,31.6171,31.6114,31.6459,31.6319
O55186,25.2723,26.7157,26.097,25.6334,25.7664,26.4021,26.4063,26.047,25.8878
O55222,28.124,28.7468,28.5706,28.6779,29.0395,29.0716,28.5326,29.0701,28.8244
O55234,28.811,28.3839,28.4812,28.7611,28.4009,28.6287,28.8385,28.7963,28.7386
O70133,29.9359,29.5458,29.8576,29.9863,30.084,29.8356,29.7889,29.7868,29.9366
